panel_id,city,arrondissement,latitude,longitude,address,district,format,screen_type,visibility_score,daily_traffic,audience_csp_plus,audience_young_active,availability,maintenance_status,mall_name,poi_nearby,price_per_day
75-851-101-0125,Paris,1,48.866583,2.3340851,21 AVENUE DE L'OPERA,Centre,DOOH 8m2,premium_digital,50.13,237790,28.84,47.37,True,maintenance,Galerie Marchande,gare,25
75-851-101-0126,Paris,1,48.8696837,2.3266133,9 BD DE LA MADELEINE,Université,Totem digital,mall_screen,72.61,118119,78.39,32.32,False,ok,Carmila Shopping,gare,25
75-851-101-0127,Paris,1,48.8647491,2.3452392,41 RUE ETIENNE MARCEL,Gare,Grand format digital,street_digital,67.84,143768,82.38,73.94,True,ok,Galerie Marchande,centre commercial,28
75-851-101-0128,Paris,1,48.866379,2.3290842,350/352 RUE SAINT HONORE,Université,Écran galerie,street_digital,86.46,103593,32.34,82.66,True,ok,Carrefour City Mall,centre commercial,30
75-851-101-0129,Paris,1,48.8634462,2.3402742,10 RUE DU COLONEL DRIANT,Gare,Totem digital,street_digital,70.57,177342,62.7,77.58,False,ok,Carmila Shopping,cinéma,28
75-851-101-0130,Paris,1,48.8601723,2.3491421,25 BOULEVARD SEBASTOPOL,Zone Commerciale,DOOH 2m2,digital,69.36,77354,68.71,83.5,True,ok,Galerie Marchande,cinéma,26
75-851-101-0131,Paris,1,48.8633889,2.3439217,4 RUE COQUILLIERE,Université,Écran galerie,premium_digital,92.49,227032,29.17,28.79,True,maintenance,Grand Centre,aéroport,30
75-851-101-0132,Paris,1,48.8606575,2.3493827,31 BOULEVARD SEBASTOPOL,Centre,Écran galerie,premium_digital,49.1,69623,60.81,28.12,True,ok,Carrefour City Mall,université,30
75-851-101-0133,Paris,1,48.8622898,2.3391419,RUE CROIX DES PETITS CHAMPS,Gare,Grand format digital,digital,86.44,285494,56.76,71.91,True,ok,Carrefour City Mall,aéroport,20
75-851-101-0134,Paris,1,48.8697835,2.3274717,3 BOULEVARD DE LA MADELEINE,Université,Grand format digital,premium_digital,98.42,182164,38.83,26.05,True,ok,Galerie Marchande,centre commercial,16
75-851-101-0135,Paris,1,48.85947,2.3487128,19 BOULEVARD SEBASTOPOL,Quartier Affaires,Grand format digital,street_digital,51.31,166144,78.8,63.6,True,ok,Grand Centre,aéroport,22
75-851-101-0136,Paris,1,48.8629244,2.3418365,PLACE DES DEUX ECUS,Centre,Écran galerie,mall_screen,55.51,170703,70.42,74.3,True,ok,Retail Avenue,université,16
75-851-101-0137,Paris,1,48.8647104,2.345296,21 RUE DE MONTMARTRE,Premium,DOOH 8m2,premium_digital,86.82,173271,22.75,23.88,True,ok,Retail Avenue,cinéma,24
75-851-101-0138,Paris,1,48.8589064,2.3471568,104 RUE DE RIVOLI,Premium,Écran galerie,premium_digital,57.51,139004,73.37,60.36,True,ok,Galerie Marchande,centre commercial,28
75-851-101-0139,Paris,1,48.8622076,2.3415347,36 RUE DU LOUVRE,Centre,Totem digital,mall_screen,96.63,128923,73.72,38.17,True,ok,Grand Centre,restaurant,25
75-851-101-0140,Paris,1,48.8614279,2.3410339,1 RUE DU LOUVRE,Zone Commerciale,Écran galerie,digital,72.82,110215,32.04,67.26,True,ok,Carrefour City Mall,stade,26
75-851-101-0141,Paris,1,48.8672871,2.3336069,AV.DE L'OPERA/RUE ST ROCH,Centre,Totem digital,mall_screen,48.68,114518,52.18,79.65,True,ok,Carmila Shopping,aéroport,30
75-851-101-0142,Paris,1,48.8635911,2.3397606,RUE CROIX DES PETITS-CHAMPS,Université,DOOH 8m2,mall_screen,78.7,254563,67.75,18.88,True,maintenance,Carrefour City Mall,gare,29
75-851-102-0022,Paris,2,48.8689404,2.3397335,1 RUE DU 4 SEPTEMBRE,Zone Commerciale,DOOH 2m2,street_digital,99.71,53516,72.27,43.61,True,ok,Carrefour City Mall,gare,19
75-851-102-0023,Paris,2,48.8656525,2.3521417,105 BOULEVARD SEBASTOPOL,Zone Commerciale,Totem digital,street_digital,74.64,77692,33.99,44.14,True,ok,Galerie Marchande,université,29
75-851-102-0024,Paris,2,48.8678703,2.3336066,30 AVENUE DE L'OPERA,Gare,Grand format digital,digital,82.54,160271,92.19,16.49,True,ok,Retail Avenue,stade,18
75-851-102-0025,Paris,2,48.8674304,2.3469292,89 RUE REAUMUR,Centre,DOOH 8m2,premium_digital,89.45,206997,32.04,78.23,False,ok,Carmila Shopping,restaurant,26
75-851-102-0026,Paris,2,48.8701092,2.3340718,26 RUE DU 4 SEPTEMBRE,Retail Park,Grand format digital,premium_digital,61.61,152200,75.75,21.59,True,ok,Galerie Marchande,centre commercial,15
75-851-102-0027,Paris,2,48.8665334,2.3512115,80 RUE REAUMUR,Université,DOOH 8m2,street_digital,84.45,280552,44.84,89.69,True,ok,Carrefour City Mall,gare,21
75-851-102-0028,Paris,2,48.866119,2.343677,58 RUE DU LOUVRE,Retail Park,DOOH 8m2,street_digital,84.48,95239,31.67,46.01,True,ok,Galerie Marchande,cinéma,26
75-851-102-0029,Paris,2,48.8686197,2.3433173,115 RUE MONTMARTRE,Premium,Écran galerie,premium_digital,78.99,298757,35.83,64.21,True,ok,Carrefour City Mall,aéroport,23
75-851-102-0030,Paris,2,48.8698731,2.3349136,27 RUE DU 4 SEPTEMBRE,Quartier Affaires,DOOH 2m2,premium_digital,77.63,180160,25.25,65.77,True,ok,Carrefour City Mall,université,27
75-851-102-0031,Paris,2,48.8698975,2.3390241,81/83 RUE DE RICHELIEU,Zone Commerciale,Grand format digital,street_digital,71.16,153163,42.03,20.73,True,ok,Grand Centre,stade,15
75-851-102-0032,Paris,2,48.8691225,2.3330368,36 AVENUE DE L'OPERA,Gare,Écran galerie,street_digital,91.54,98317,62.11,36.48,False,ok,Carrefour City Mall,restaurant,20
75-851-102-0033,Paris,2,48.8693362,2.3378705,RUE DU 4 SEPTEMBRE / RUE MENARS,Premium,Écran galerie,street_digital,67.26,291600,20.06,54.81,False,ok,Retail Avenue,aéroport,22
75-851-102-0035,Paris,2,48.8666914,2.3438368,62 RUE DU LOUVRE,Zone Commerciale,Écran galerie,mall_screen,80.22,210034,50.28,88.36,True,ok,Retail Avenue,cinéma,15
75-851-102-0036,Paris,2,48.8706574,2.3480556,39 BOULEVARD BONNE NOUVELLE,Premium,Grand format digital,premium_digital,47.54,124040,30.24,88.98,True,ok,Carmila Shopping,centre commercial,20
75-851-102-0037,Paris,2,48.865314,2.3519363,91 BD SEBASTOPOL,Centre,Totem digital,street_digital,89.93,228377,26.66,58.71,True,ok,Galerie Marchande,restaurant,22
75-851-102-0038,Paris,2,48.8690994,2.3329038,41 AVENUE DE L'OPERA,Premium,Totem digital,street_digital,54.29,170270,35.6,43.08,True,ok,Galerie Marchande,centre commercial,15
75-851-102-0039,Paris,2,48.8717729,2.3390918,5 BD DES ITALIENS,Gare,DOOH 8m2,digital,78.81,277878,69.32,43.42,True,ok,Grand Centre,centre commercial,15
75-851-102-0040,Paris,2,48.869473,2.3533661,15 BIS BOULEVARD SAINT DENIS,Premium,DOOH 2m2,street_digital,60.06,91732,78.06,57.92,True,ok,Carrefour City Mall,stade,28
75-851-102-0041,Paris,2,48.8711594,2.3448138,23 BOULEVARD DES CAPUCINES,Retail Park,Totem digital,street_digital,87.0,81214,41.67,25.65,False,ok,Carmila Shopping,gare,26
75-851-103-0040,Paris,3,48.8609321,2.3672068,113 BOULEVARD BEAUMARCHAIS,Retail Park,Écran galerie,mall_screen,64.37,272345,65.2,78.26,True,ok,Carrefour City Mall,gare,25
75-851-103-0041,Paris,3,48.8654135,2.3555996,51 RUE DE TURBIGO,Université,Grand format digital,premium_digital,98.42,197287,38.83,26.05,True,ok,Galerie Marchande,centre commercial,17
75-851-103-0042,Paris,3,48.8667239,2.352947,96 BOULEVARD DE SEBASTOPOL,Centre,DOOH 2m2,digital,70.89,205107,47.68,55.43,True,ok,Carrefour City Mall,gare,24
75-851-103-0043,Paris,3,48.8624748,2.3505587,48 BOULEVARD DE SEBASTOPOL,Premium,DOOH 8m2,digital,75.64,75795,66.18,83.72,True,ok,Carmila Shopping,cinéma,27
75-851-103-0044,Paris,3,48.8662623,2.3526374,92 BOULEVARD DE SEBASTOPOL,Centre,Écran galerie,street_digital,75.52,237464,37.53,38.55,False,maintenance,Galerie Marchande,centre commercial,29
75-851-103-0045,Paris,3,48.8630133,2.3524556,FACE 36 Rue GRENIER ST LAZARE,Université,DOOH 8m2,street_digital,83.89,279203,24.99,15.52,True,ok,Retail Avenue,restaurant,24
75-851-103-0046,Paris,3,48.8666638,2.3620183,FACE 172 RUE DU TEMPLE,Zone Commerciale,Grand format digital,mall_screen,49.53,79616,21.09,34.62,True,ok,Carmila Shopping,restaurant,17
75-851-103-0047,Paris,3,48.866858,2.3617632,89 RUE DE TURBIGO,Zone Commerciale,DOOH 8m2,digital,56.51,296017,39.06,40.8,False,ok,Grand Centre,université,16
75-851-103-0048,Paris,3,48.865296,2.3520707,82 BOULEVARD SEBASTOPOL,Université,DOOH 2m2,street_digital,77.75,223760,88.75,37.42,True,ok,Retail Avenue,aéroport,19
75-851-103-0049,Paris,3,48.8613918,2.3534762,23 RUE BEAUBOURG,Zone Commerciale,DOOH 8m2,mall_screen,88.33,93408,84.41,81.84,False,ok,Carmila Shopping,stade,17
75-851-103-0050,Paris,3,48.8665535,2.3614946,PLACE ELISABETH DMITRIEFF,Université,Écran galerie,digital,53.61,114886,78.71,32.09,True,maintenance,Carrefour City Mall,cinéma,29
75-851-103-0051,Paris,3,48.8664564,2.3616307,168 RUE DU TEMPLE,Centre,DOOH 2m2,digital,51.77,187119,63.13,63.95,False,ok,Galerie Marchande,stade,23
75-851-103-0052,Paris,3,48.8679969,2.3616672,3 BOULEVARD SAINT MARTIN,Retail Park,DOOH 8m2,digital,73.54,235693,29.77,50.92,True,ok,Retail Avenue,restaurant,20
75-851-103-0053,Paris,3,48.8628433,2.3666904,17 BD FILLES DU CALVAIRE,Zone Commerciale,DOOH 8m2,premium_digital,92.7,290556,62.41,16.56,False,ok,Carmila Shopping,restaurant,17
75-851-103-0054,Paris,3,48.8585178,2.3677558,77 BOULEVARD BEAUMARCHAIS,Premium,DOOH 2m2,premium_digital,64.59,89516,61.24,18.13,True,ok,Carrefour City Mall,gare,16
75-851-103-0055,Paris,3,48.8649483,2.3587614,16 RUE REAUMUR,Université,DOOH 2m2,street_digital,55.14,116300,56.31,81.08,True,ok,Retail Avenue,centre commercial,23
75-851-103-0056,Paris,3,48.8683815,2.3592989,25 BOULEVARD SAINT MARTIN,Gare,Grand format digital,digital,84.78,244119,52.86,45.83,True,ok,Grand Centre,gare,17
75-851-103-0057,Paris,3,48.8643931,2.3553027,82 RUE BEAUBOURG,Premium,Écran galerie,premium_digital,90.33,56423,73.59,25.4,True,ok,Retail Avenue,centre commercial,23
75-851-103-0058,Paris,3,48.8646498,2.3517364,72 BOULEVARD SEBASTOPOL,Premium,DOOH 2m2,premium_digital,87.64,246106,53.49,50.01,True,ok,Grand Centre,restaurant,28
75-851-103-0059,Paris,3,48.8616317,2.3518384,54 RUE RAMBUTEAU,Gare,Grand format digital,digital,84.78,159289,52.86,45.83,True,ok,Grand Centre,gare,29
75-851-104-0080,Paris,4,48.8529887,2.3589128,QUAI DES CELESTINS,Centre,DOOH 8m2,premium_digital,70.65,167539,35.99,52.46,True,ok,Carrefour City Mall,université,23
75-851-104-0081,Paris,4,48.8601879,2.3492198,18 BOULEVARD SEBASTOPOL,Gare,Écran galerie,mall_screen,91.08,194832,86.64,29.0,True,ok,Galerie Marchande,université,16
75-851-104-0082,Paris,4,48.8604703,2.349377,22 BOULEVARD SEBASTOPOL,Université,Écran galerie,mall_screen,62.44,186509,34.03,19.5,True,maintenance,Carrefour City Mall,gare,29
75-851-104-0083,Paris,4,48.8562251,2.3567276,21 RUE DE RIVOLI,Gare,Écran galerie,mall_screen,53.2,170199,78.46,20.63,True,ok,Grand Centre,aéroport,21
75-851-104-0084,Paris,4,48.8475707,2.3655063,2 BLD MORLAND,Université,Totem digital,premium_digital,58.86,178151,56.29,64.3,True,ok,Carmila Shopping,centre commercial,19
75-851-104-0085,Paris,4,48.8555192,2.3600227,N° 12 RUE DE RIVOLI,Quartier Affaires,DOOH 8m2,mall_screen,96.52,99244,36.91,25.54,True,ok,Carrefour City Mall,gare,25
75-851-104-0086,Paris,4,48.8576241,2.3513043,74 RUE DE RIVOLI,Zone Commerciale,DOOH 2m2,street_digital,84.7,284231,39.92,56.25,True,ok,Retail Avenue,université,25
75-851-104-0087,Paris,4,48.8522588,2.3659831,35 BD HENRI IV/RUE CASTEX,Retail Park,DOOH 8m2,mall_screen,80.0,116784,31.53,17.96,False,ok,Carrefour City Mall,université,24
75-851-104-0088,Paris,4,48.8572416,2.3494995,7 AVENUE VICTORIA,Gare,Grand format digital,premium_digital,75.66,256485,39.5,17.94,True,ok,Galerie Marchande,restaurant,22
75-851-104-0089,Paris,4,48.8526146,2.367421,44 BD HENRI IV / RUE JACQUES COEUR,Zone Commerciale,Écran galerie,mall_screen,86.84,101556,36.97,56.59,True,ok,Carrefour City Mall,aéroport,22
75-851-104-0090,Paris,4,48.8553182,2.3608775,8 RUE DE RIVOLI,Premium,Totem digital,premium_digital,95.73,149235,46.82,29.4,False,ok,Carrefour City Mall,gare,18
75-851-104-0091,Paris,4,48.8532462,2.3684931,4 RUE SAINT ANTOINE,Gare,Écran galerie,street_digital,82.4,286001,28.3,48.04,True,maintenance,Carmila Shopping,stade,29
75-851-104-0092,Paris,4,48.8577042,2.3506886,33 RUE DE RIVOLI,Centre,DOOH 2m2,premium_digital,74.47,101779,21.29,75.99,True,ok,Carmila Shopping,centre commercial,17
75-851-104-0093,Paris,4,48.8603589,2.3502172,RUE AUBRY LE BOUCHER / RUE QUINCAMPOIX,Zone Commerciale,Grand format digital,premium_digital,82.03,172747,52.12,16.27,True,ok,Galerie Marchande,aéroport,24
75-851-104-0094,Paris,4,48.8539847,2.3562276,PL DES BATAILLONS FRANCAIS ONU EN COREE,Centre,Écran galerie,street_digital,66.69,268331,45.21,50.69,True,ok,Carmila Shopping,université,20
75-851-105-0028,Paris,5,48.8476729,2.3509215,17/19 RUE MONGE,Université,Écran galerie,street_digital,49.08,70961,34.22,48.94,True,ok,Grand Centre,cinéma,26
75-851-105-0029,Paris,5,48.8450114,2.3395575,93 BD SAINT MICHEL,Retail Park,DOOH 2m2,mall_screen,65.5,268131,88.73,83.49,True,ok,Grand Centre,restaurant,20
75-851-105-0031,Paris,5,48.8508048,2.3454764,BD ST GERMAIN/RUE ST JACQUES,Centre,Totem digital,premium_digital,51.51,196331,76.2,50.08,True,ok,Retail Avenue,aéroport,20
75-851-105-0032,Paris,5,48.8370521,2.3501285,12BIS BOULEVARD DE PORT ROYAL,Quartier Affaires,DOOH 8m2,premium_digital,46.27,254292,77.07,31.22,True,ok,Carrefour City Mall,gare,30
75-851-105-0033,Paris,5,48.8409903,2.3519624,99 RUE MONGE,Zone Commerciale,Grand format digital,digital,97.34,280163,63.61,35.99,False,ok,Carmila Shopping,aéroport,23
75-851-105-0034,Paris,5,48.8513445,2.343654,96 BOULEVARD ST GERMAIN,Centre,Grand format digital,premium_digital,76.66,156529,83.63,35.97,True,ok,Carmila Shopping,université,30
75-851-105-0035,Paris,5,48.8370752,2.3524417,4 BOULEVARD DE PORT ROYAL,Centre,Totem digital,mall_screen,78.84,290763,93.98,64.44,True,ok,Grand Centre,restaurant,28
75-851-105-0036,Paris,5,48.8391534,2.3510348,119 RUE MONGE,Université,Grand format digital,mall_screen,86.78,170094,25.93,79.25,True,ok,Galerie Marchande,cinéma,26
75-851-105-0037,Paris,5,48.8493971,2.3544269,11 BOULEVARD SAINT GERMAIN,Premium,Écran galerie,mall_screen,57.24,123401,84.03,31.97,True,ok,Carrefour City Mall,gare,17
75-851-105-0038,Paris,5,48.8418361,2.3631114,18 BLD DE L'HOPITAL / RUE NICOLAS HOUEL,Centre,DOOH 2m2,street_digital,60.41,269877,88.09,18.74,True,ok,Carmila Shopping,restaurant,20
75-851-105-0049,Paris,5,48.8495266,2.3529816,24 BOULEVARD ST GERMAIN,Retail Park,Écran galerie,mall_screen,64.12,273049,38.11,66.41,False,maintenance,Grand Centre,restaurant,23
75-851-105-0050,Paris,5,48.8442258,2.3420259,FACE 29 RUE GAY LUSSAC,Retail Park,Grand format digital,premium_digital,82.15,186157,86.8,81.57,True,ok,Carrefour City Mall,cinéma,18
75-851-105-0051,Paris,5,48.8495341,2.3509618,39 BOULEVARD ST GERMAIN,Gare,Grand format digital,street_digital,98.99,236321,27.78,83.34,True,ok,Grand Centre,cinéma,21
75-851-105-0057,Paris,5,48.8397202,2.360887,14 BOULEVARD SAINT MARCEL,Zone Commerciale,DOOH 2m2,digital,72.51,178895,59.87,85.32,True,ok,Carrefour City Mall,gare,21
75-851-105-0058,Paris,5,48.8384801,2.3569634,50 BOULEVARD SAINT MARCEL,Université,DOOH 2m2,mall_screen,76.73,248047,83.66,46.91,True,ok,Carrefour City Mall,gare,28
75-851-105-0059,Paris,5,48.8409802,2.3373864,145 BOULEVARD SAINT MICHEL,Centre,Totem digital,mall_screen,89.8,96210,24.87,20.67,False,ok,Galerie Marchande,restaurant,24
75-851-105-0060,Paris,5,48.8368943,2.3519506,92 BOULEVARD SAINT MARCEL,Quartier Affaires,Écran galerie,digital,99.5,260003,54.26,42.67,True,ok,Carmila Shopping,aéroport,18
75-851-105-0061,Paris,5,48.8503435,2.3427843,25 BOULEVARD SAINT MICHEL,Gare,DOOH 8m2,mall_screen,91.37,54018,87.74,87.16,True,ok,Retail Avenue,centre commercial,24
75-851-105-0062,Paris,5,48.8442939,2.3646792,FACE 11 PLACE VALHUBERT SUR TP,Zone Commerciale,Totem digital,digital,68.29,160994,42.11,27.57,False,ok,Grand Centre,cinéma,29
75-851-105-0063,Paris,5,48.8495372,2.3559931,1 QUAI DE LA TOURNELLE,Centre,Totem digital,premium_digital,57.1,228197,59.05,73.97,False,ok,Carmila Shopping,cinéma,23
75-851-105-0064,Paris,5,48.8511127,2.3446029,102 BD DE PORT ROYAL,Université,Grand format digital,premium_digital,68.52,268743,64.49,48.83,True,ok,Retail Avenue,centre commercial,21
75-851-105-0065,Paris,5,48.8465364,2.3515669,57 RUE DU CARDINAL LEMOINE,Gare,DOOH 8m2,street_digital,68.57,127379,91.15,73.67,True,ok,Grand Centre,cinéma,22
75-851-105-0066,Paris,5,48.8493429,2.3421928,N° 39 BOULEVARD SAINT MICHEL,Retail Park,Totem digital,mall_screen,76.16,228379,20.48,59.8,True,ok,Grand Centre,aéroport,21
75-851-105-0067,Paris,5,48.8492846,2.3570633,23 QUAI SAINT BERNARD,Centre,Grand format digital,street_digital,76.54,178954,31.16,54.57,True,ok,Carmila Shopping,cinéma,20
75-851-105-0068,Paris,5,48.8479474,2.3505639,FACE 17 RUE MONGE,Gare,Totem digital,digital,63.67,254847,68.09,53.9,True,ok,Carrefour City Mall,aéroport,28
75-851-105-0069,Paris,5,48.8494795,2.3529447,23 BOULEVARD SAINT GERMAIN,Premium,Totem digital,mall_screen,52.8,149088,51.74,67.62,True,ok,Carmila Shopping,centre commercial,22
75-851-105-0070,Paris,5,48.8420597,2.3520026,82 RUE MONGE,Centre,Grand format digital,mall_screen,55.45,154972,81.56,32.93,True,ok,Carrefour City Mall,gare,15
75-851-105-0071,Paris,5,48.8465392,2.3517099,RUE MONGE/RUE CARDINAL LEMOINE,Retail Park,Totem digital,street_digital,50.38,214189,45.99,81.66,True,ok,Carrefour City Mall,stade,26
75-851-105-0072,Paris,5,48.8391096,2.3390434,88BIS BOULEVARD DE PORT ROYAL,Gare,Écran galerie,premium_digital,98.33,256955,24.5,41.66,False,ok,Grand Centre,gare,28
75-851-105-0073,Paris,5,48.8411821,2.355913,37 RUE GEOFFROY ST HILAIRE,Université,DOOH 2m2,premium_digital,58.99,238137,43.55,78.78,True,ok,Grand Centre,restaurant,30
75-851-105-0074,Paris,5,48.8375121,2.3463104,56 BOULEVARD DE PORT ROYAL,Université,DOOH 2m2,street_digital,76.01,280220,83.23,52.95,True,ok,Carrefour City Mall,université,27
75-851-106-0045,Paris,6,48.8504532,2.32483,47 RUE DE SEVRES,Centre,Totem digital,digital,46.87,284094,93.06,63.81,True,ok,Galerie Marchande,gare,25
75-851-106-0046,Paris,6,48.844722,2.3285998,114 BOULEVARD RASPAIL,Quartier Affaires,DOOH 2m2,street_digital,83.02,226782,78.64,31.91,True,ok,Retail Avenue,restaurant,19
75-851-106-0047,Paris,6,48.8524199,2.3319568,55 RUE DE RENNES,Centre,Écran galerie,premium_digital,65.76,153036,72.21,46.85,False,ok,Carrefour City Mall,restaurant,25
75-851-106-0048,Paris,6,48.8479207,2.3278518,FACE 85 BOULEVARD RASPAIL,Université,DOOH 8m2,premium_digital,61.35,234596,24.03,34.08,True,ok,Carmila Shopping,cinéma,15
75-851-106-0049,Paris,6,48.8531282,2.3358433,131 BOULEVARD SAINT GERMAIN,Retail Park,DOOH 2m2,mall_screen,52.14,275589,61.02,49.91,True,ok,Retail Avenue,restaurant,17
75-851-106-0050,Paris,6,48.8451615,2.3201255,27 BOULEVARD MONTPARNASSE,Premium,Écran galerie,premium_digital,58.76,101196,49.88,55.06,True,ok,Carmila Shopping,aéroport,20
75-851-106-0051,Paris,6,48.8533658,2.3349978,137 BOULEVARD SAINT GERMAIN,Premium,Totem digital,street_digital,68.06,170719,38.69,89.56,True,maintenance,Galerie Marchande,cinéma,30
75-851-106-0052,Paris,6,48.8529592,2.3370691,146 BOULEVARD SAINT GERMAIN,Zone Commerciale,Écran galerie,premium_digital,52.15,276107,93.53,66.19,True,ok,Retail Avenue,aéroport,22
75-851-106-0053,Paris,6,48.850375,2.3300979,79 RUE DE RENNES,Quartier Affaires,Écran galerie,premium_digital,89.9,113523,72.85,44.51,True,ok,Carmila Shopping,gare,21
75-851-106-0054,Paris,6,48.8481188,2.3280438,117 RUE DE RENNES,Zone Commerciale,Écran galerie,street_digital,66.48,92800,33.53,49.2,True,ok,Grand Centre,université,28
75-851-106-0055,Paris,6,48.8414262,2.3374889,FACE 139 BLD SAINT MICHEL,Retail Park,Totem digital,digital,77.89,68692,50.66,87.69,True,ok,Carmila Shopping,cinéma,30
75-851-106-0056,Paris,6,48.8518522,2.3414925,110 BOULEVARD SAINT GERMAIN,Retail Park,DOOH 2m2,digital,91.47,223867,87.21,39.0,False,ok,Grand Centre,restaurant,23
75-851-106-0057,Paris,6,48.848028,2.3411611,56 BOULEVARD ST MICHEL,Retail Park,Totem digital,premium_digital,90.71,105752,52.43,31.8,True,ok,Grand Centre,aéroport,19
75-851-106-0058,Paris,6,48.8507065,2.3427508,24 BOULEVARD SAINT MICHEL,Retail Park,DOOH 2m2,premium_digital,79.72,55594,28.79,40.71,True,ok,Galerie Marchande,restaurant,19
75-851-106-0059,Paris,6,48.8470082,2.3304473,FACE 46 RUE D'ASSAS,Zone Commerciale,Écran galerie,street_digital,94.48,72266,62.83,27.75,False,ok,Carmila Shopping,restaurant,15
75-851-106-0060,Paris,6,48.8443779,2.3327789,82 RUE D'ASSAS,Retail Park,Écran galerie,mall_screen,64.37,102790,65.2,78.26,True,ok,Carrefour City Mall,gare,17
75-851-106-0061,Paris,6,48.8528306,2.3371061,121 BOULEVARD SAINT GERMAIN,Premium,DOOH 2m2,street_digital,71.78,225659,59.07,78.09,True,ok,Galerie Marchande,restaurant,16
75-851-106-0062,Paris,6,48.8451258,2.3322782,FACE 74 RUE D'ASSAS,Gare,Grand format digital,digital,75.51,171839,36.66,72.57,True,ok,Grand Centre,université,29
75-851-106-0063,Paris,6,48.8436936,2.3248625,71/73 BD MONTPARNASSE,Centre,Totem digital,digital,98.58,102439,45.69,69.05,True,ok,Retail Avenue,centre commercial,25
75-851-106-0064,Paris,6,48.84935,2.341962,40/42 BD SAINT MICHEL,Premium,Écran galerie,digital,84.03,280349,90.43,46.14,True,ok,Grand Centre,université,28
75-851-106-0065,Paris,6,48.8460713,2.3261163,141 RUE DE RENNES,Centre,Grand format digital,street_digital,76.54,195842,31.16,54.57,True,ok,Carmila Shopping,cinéma,26
75-851-106-0066,Paris,6,48.8456019,2.3397658,60 BD SAINT MICHEL,Quartier Affaires,Totem digital,digital,56.04,168823,40.35,49.87,True,maintenance,Carrefour City Mall,aéroport,23
75-851-106-0067,Paris,6,48.8474339,2.3280149,FACE 87 BOULEVARD RASPAIL,Premium,Écran galerie,street_digital,68.71,247763,78.24,88.1,True,ok,Retail Avenue,gare,20
75-851-106-0068,Paris,6,48.8428701,2.329502,141 BOULEVARD RASPAIL,Zone Commerciale,DOOH 2m2,street_digital,98.14,69869,50.35,86.31,True,ok,Retail Avenue,centre commercial,24
75-851-106-0069,Paris,6,48.8510955,2.3307582,71 RUE DE RENNES,Quartier Affaires,Totem digital,street_digital,95.4,80604,27.42,56.85,True,ok,Galerie Marchande,université,15
75-851-106-0070,Paris,6,48.8416253,2.331158,125 BD MONTPARNASSE,Quartier Affaires,Totem digital,street_digital,67.78,161052,20.53,57.05,True,ok,Galerie Marchande,cinéma,19
75-851-106-0071,Paris,6,48.8462592,2.3260936,130 RUE DE RENNES,Centre,Grand format digital,digital,83.52,126623,47.02,86.71,True,ok,Retail Avenue,université,19
75-851-106-0072,Paris,6,48.845588,2.3285384,108 BOULEVARD RASPAIL SUR TPC,Retail Park,Écran galerie,mall_screen,53.6,197229,74.77,24.0,True,maintenance,Retail Avenue,cinéma,30
75-851-106-0073,Paris,6,48.8441023,2.3235434,61 BOULEVARD MONTPARNASSE,Gare,Écran galerie,digital,94.83,242136,55.71,20.8,False,maintenance,Retail Avenue,centre commercial,30
